,l_knee_pos,l_hall_pos,l_knee_vel,l_hall_vel,l_knee_eff,r_knee_pos,r_hall_pos,r_knee_vel,r_hall_vel,r_knee_eff,imu,l_pressure,r_pressure,command,timestamp
0,1.0037134885787964,0.6032608808018267,0.0,3.6309597133021195e-10,0.0,-1.0001554489135742,-0.8291457197628915,0.0,-4.990535273751554e-10,-0.2603551745414734,"[0.05952533334493637, -0.12724576890468597, -0.31085410714149475, -0.9400185942649841, -0.001065280637703836, -0.10226693749427795, -0.1938810795545578, -3.747715473175049, 0.035452790558338165, 9.11928653717041]","[0.08191679200425703, 0.0, 0.0, 0.0]","[0.3957699599062875, 0.0, 1.2233302227143175, 0.0]",[],1661436447.7572255
1,1.0037134885787964,0.6032608808018267,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.059493646025657654, -0.126957505941391, -0.3062799572944641, -0.9415597915649414, -0.01491392869502306, -0.11398503184318542, -0.19814220070838928, -3.4646613597869873, -0.017193952575325966, 9.11928653717041]","[0.0, 0.0, 0.0, 0.0]","[0.4794143805988632, 0.0, 1.2047240477416565, 0.0]",[],1661436447.80987
2,1.0037134885787964,0.6059782721567899,0.0,0.436153582951458,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2803824841976166,"[0.059493619948625565, -0.12689323723316193, -0.3058429956436157, -0.9417105317115784, -0.01384864840656519, -0.11718086898326874, -0.1970769166946411, -3.5654091835021973, -0.0076218172907829285, 9.010339736938477]","[0.0, 0.0, 0.0, 0.0]","[0.40956091429455005, 0.0, 1.1892685965499208, 0.0]",[],1661436447.8161004
3,1.0037134885787964,0.6059782721567899,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.27370670437812805,"[0.05949150770902634, -0.12679517269134521, -0.30531755089759827, -0.9418943524360657, -0.012783367186784744, -0.115050308406353, -0.1970769166946411, -3.4742562770843506, -0.0076218172907829285, 9.095602035522461]","[0.0, 0.0, 0.0, 0.0]","[0.4308470686498769, 0.0, 1.2084456225284543, 0.0]",[],1661436447.8202474
4,1.0037134885787964,0.6032608808018267,0.0,-0.6576783283143393,0.0,-1.0016894340515137,-0.8542713476344943,0.0,-6.0810456713430465,-0.2670309245586395,"[0.059491414576768875, -0.12674732506275177, -0.3050573170185089, -0.9419850707054138, -0.015979209914803505, -0.115050308406353, -0.19494636356830597, -3.5174338817596436, -0.02198002114892006, 9.090865135192871]","[0.0, 0.0, 0.0, 0.0]","[0.47012134700759833, 0.0, 1.252522625715527, 0.0]",[],1661436447.8243792
5,1.0037134885787964,0.6032608808018267,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,3.1359774284890642,-0.27370670437812805,"[0.05949528142809868, -0.12663230299949646, -0.3043636679649353, -0.9422246813774109, -0.015979209914803505, -0.1075933426618576, -0.1970769166946411, -3.4598634243011475, -0.02198002114892006, 9.090865135192871]","[0.0, 0.0, 0.0, 0.0]","[0.48421171788412787, 0.0, 1.1325980425264466, 0.0]",[],1661436447.8323913
6,1.0037134885787964,0.6032608808018267,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.059503450989723206, -0.12654820084571838, -0.3038478195667267, -0.9424019455909729, -0.018109770491719246, -0.10546278208494186, -0.19175051152706146, -3.426280975341797, -0.017193952575325966, 9.071917533874512]","[0.0, 0.0, 0.0, 0.0]","[0.4665225654718007, 0.0, 1.2757066519837945, 0.0]",[],1661436447.8371198
7,1.0037134885787964,0.6005434894468635,0.0,-0.511905027158657,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.27370670437812805,"[0.059507817029953, -0.12648241221904755, -0.3035050630569458, -0.9425209164619446, -0.01384864840656519, -0.10652806609869003, -0.19281579554080963, -3.4022932052612305, -0.012407884933054447, 9.152444839477539]","[0.0, 0.0, 0.0, 0.0]","[0.39426976317755597, 0.0, 1.2639710766175292, 0.0]",[],1661436447.8424282
8,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0001554489135742,-0.8291457197628915,0.0,0.0,-0.27370670437812805,"[0.059506263583898544, -0.1263992190361023, -0.3029938042163849, -0.9426966905593872, -0.017044490203261375, -0.10546278208494186, -0.18961995840072632, -3.397495746612549, -0.012407884933054447, 9.12876033782959]","[0.07380807742007504, 0.0, 0.0, 0.0]","[0.25156421670426454, 0.0, 1.2078730725612545, 0.0]",[],1661436447.847568
9,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2670309245586395,"[0.05951722711324692, -0.12633568048477173, -0.3026588261127472, -0.9428120851516724, -0.018109770491719246, -0.10120166093111038, -0.18961995840072632, -3.378305673599243, -0.09855709969997406, 9.10981273651123]","[0.05459025479424797, 0.0, 0.0, 0.0]","[0.37028619103862914, 0.0, 1.2121671973152517, 0.0]",[],1661436447.8520017
